request_id,customer_id,request_type,request_date,response_date,status
R0001,C020703,access,2025-04-06,2025-04-19,completed
R0002,C012861,correct,2025-12-09,2025-12-12,completed
R0003,C027248,delete,2025-06-26,2025-08-16,completed
R0004,C017590,opt-out,2026-01-03,2026-04-25,completed
R0005,C031721,correct,2025-05-11,2025-06-23,completed
R0006,C007120,delete,2025-05-14,2025-06-20,completed
R0007,C008203,access,2025-08-02,2025-08-21,completed
R0008,C026728,appeal,2025-11-13,2025-11-28,completed
R0009,C026883,opt-out,2026-03-23,2026-04-12,completed
R0010,C015732,opt-out,2025-10-19,2025-11-25,pending
R0011,C034625,correct,2026-01-13,2026-02-26,completed
R0012,C012062,opt-out,2025-07-24,2025-08-19,pending
R0013,C003483,correct,2025-06-06,2025-07-17,completed
R0014,C031075,opt-out,2025-04-22,2025-05-09,completed
R0015,C026207,correct,2025-04-17,2025-05-21,pending
R0016,C000404,delete,2025-09-14,2025-09-24,completed
R0017,C002730,correct,2025-07-24,2025-08-12,completed
R0018,C030830,access,2026-03-26,2026-04-24,pending
R0019,C004668,correct,2025-12-14,2026-01-13,completed
R0020,C030672,appeal,2026-03-10,2026-04-05,completed
R0021,C018009,opt-out,2025-11-30,2025-12-25,completed
R0022,C028874,opt-out,2026-01-11,2026-01-24,completed
R0023,C014755,access,2025-11-29,2025-12-16,completed
R0024,C034244,access,2026-01-01,2026-01-29,pending
R0025,C005396,portability,2025-10-03,2025-10-29,completed
R0026,C014276,correct,2025-11-20,2026-01-02,completed
R0027,C004810,access,2025-06-08,2025-06-21,completed
R0028,C012396,correct,2025-08-20,2025-10-11,completed
R0029,C028630,opt-out,2025-07-11,2025-07-30,pending
R0030,C009173,portability,2025-05-29,2025-07-01,completed
R0031,C027638,delete,2026-03-19,2026-03-27,completed
R0032,C000183,appeal,2025-05-16,2025-07-30,completed
R0033,C015312,correct,2025-12-17,2026-01-07,completed
R0034,C008963,correct,2026-03-30,2026-07-19,completed
R0035,C000002,appeal,2025-12-30,2026-01-14,completed
R0036,C027044,delete,2025-10-11,2025-10-28,pending
R0037,C033482,portability,2025-07-01,2025-08-29,completed
R0038,C004500,portability,2025-10-01,2025-10-18,completed
R0039,C019287,opt-out,2025-04-05,2025-04-24,completed
R0040,C007518,delete,2025-06-10,2025-09-02,completed
R0041,C029243,delete,2025-05-19,2025-08-31,completed
R0042,C016394,delete,2025-05-18,2025-08-15,pending
R0043,C032846,opt-out,2025-10-16,2025-10-26,completed
R0044,C034759,delete,2025-12-10,2026-01-25,completed
R0045,C010998,opt-out,2026-01-01,2026-02-11,completed
R0046,C031692,appeal,2025-04-17,2025-06-05,completed
R0047,C028547,appeal,2025-08-10,2025-09-16,completed
R0048,C014342,appeal,2025-06-02,2025-08-05,completed
R0049,C019027,opt-out,2025-08-15,2025-09-26,completed
R0050,C000802,correct,2025-10-21,2026-01-11,completed
R0051,C031060,access,2025-04-02,2025-06-08,completed
R0052,C000002,appeal,2025-04-08,2025-06-28,completed
R0053,C023823,appeal,2025-08-24,2025-11-04,completed
R0054,C022502,appeal,2025-05-08,2025-09-18,completed
R0055,C021642,delete,2025-10-19,2025-11-24,completed
R0056,C013929,access,2025-10-05,2025-10-18,completed
R0057,C007681,correct,2025-11-12,2025-12-15,completed
R0058,C031378,correct,2025-09-15,2025-10-22,completed
R0059,C030850,correct,2025-06-10,2025-09-03,completed
R0060,C014804,access,2025-05-28,2025-06-20,completed
R0061,C006205,appeal,2025-05-17,2025-07-22,completed
R0062,C001370,portability,2025-08-26,2025-09-29,completed
R0063,C020478,correct,2026-03-20,2026-05-28,completed
R0064,C032394,opt-out,2025-06-16,2025-07-11,pending
R0065,C027996,appeal,2025-10-21,2025-11-24,completed
R0066,C021445,appeal,2025-12-12,2026-01-17,completed
R0067,C017207,portability,2025-06-05,2025-06-26,pending
R0068,C004771,delete,2025-08-03,2025-09-04,pending
R0069,C014560,correct,2026-01-26,2026-02-07,pending
R0070,C035945,delete,2025-11-08,2025-12-18,completed
R0071,C007717,correct,2025-07-22,2025-08-06,completed
R0072,C026550,access,2025-11-11,2025-11-22,pending
R0073,C016565,appeal,2025-12-31,2026-02-12,completed
R0074,C033852,opt-out,2026-03-07,2026-04-01,completed
R0075,C029678,appeal,2026-01-20,2026-03-03,completed
R0076,C005636,appeal,2025-08-15,2025-09-12,completed
R0077,C021118,opt-out,2025-07-05,2025-07-11,completed
R0078,C035730,portability,2025-06-14,2025-09-07,pending
R0079,C003183,access,2026-01-16,2026-02-19,completed
R0080,C017588,appeal,2025-06-17,2025-07-31,completed
R0081,C001628,portability,2025-12-24,2026-02-03,completed
R0082,C008792,correct,2026-01-28,2026-02-04,completed
R0083,C010012,access,2025-04-14,2025-05-04,completed
R0084,C007021,appeal,2025-10-02,2025-10-20,completed
R0085,C006791,portability,2025-09-07,2025-10-01,completed
R0086,C023235,opt-out,2025-07-28,2025-08-29,completed
R0087,C004944,access,2025-10-07,2025-12-30,completed
R0088,C032759,portability,2025-04-10,2025-06-28,completed
R0089,C021057,access,2026-02-18,2026-02-20,completed
R0090,C035201,portability,2025-07-22,2025-08-14,completed
R0091,C009131,correct,2025-12-26,2026-01-24,completed
R0092,C001641,correct,2025-04-20,2025-04-29,completed
R0093,C008571,correct,2026-03-11,2026-05-28,completed
R0094,C015269,access,2025-10-05,2025-10-23,pending
R0095,C019466,portability,2026-01-04,2026-02-11,completed
R0096,C010023,access,2026-03-01,2026-03-26,completed
R0097,C000123,appeal,2025-04-12,2025-05-10,completed
R0098,C034884,appeal,2025-04-06,2025-04-21,completed
R0099,C007114,opt-out,2025-12-16,2026-01-03,completed
R0100,C011881,access,2025-12-16,2026-02-15,completed
R0101,C021667,access,2026-03-08,2026-04-15,completed
R0102,C013331,correct,2025-07-29,2025-09-08,completed
R0103,C005479,correct,2025-11-21,2025-12-17,completed
R0104,C035096,portability,2025-11-12,2025-11-14,completed
R0105,C031330,appeal,2025-11-05,2025-12-13,pending
R0106,C024862,correct,2026-01-02,2026-03-03,completed
R0107,C035585,portability,2025-12-29,2026-02-02,completed
R0108,C006017,correct,2025-05-04,2025-05-24,completed
R0109,C031551,opt-out,2026-03-02,2026-05-08,completed
R0110,C034781,correct,2026-02-28,2026-04-11,pending
R0111,C035667,portability,2025-10-07,2025-12-04,completed
R0112,C014566,access,2025-06-11,2025-07-21,completed
R0113,C015615,delete,2025-09-16,2025-09-24,completed
R0114,C006560,delete,2025-06-09,2025-06-28,completed
R0115,C032007,opt-out,2025-05-08,2025-06-11,completed
R0116,C025623,access,2026-02-17,2026-03-08,completed
R0117,C017350,portability,2026-01-21,2026-01-30,completed
R0118,C001424,correct,2025-11-16,2025-12-10,pending
R0119,C033964,opt-out,2025-04-18,2025-04-26,completed
R0120,C003076,access,2025-06-06,2025-06-12,completed
R0121,C004686,access,2025-04-12,2025-04-20,completed
R0122,C000125,portability,2025-10-26,2026-02-14,completed
R0123,C009694,correct,2025-04-28,2025-05-17,completed
R0124,C004387,opt-out,2025-11-19,2025-12-14,completed
R0125,C011470,appeal,2025-05-05,2025-06-09,completed
R0126,C004602,delete,2025-10-23,2025-11-25,completed
R0127,C020390,opt-out,2025-04-25,2025-05-06,pending
R0128,C013194,portability,2025-10-27,2026-02-12,completed
R0129,C005558,access,2026-01-26,2026-01-29,completed
R0130,C027717,delete,2026-01-24,2026-03-12,completed
R0131,C029448,delete,2025-05-30,2025-06-27,completed
R0132,C009922,portability,2025-12-23,2026-01-16,completed
R0133,C004239,portability,2025-06-22,2025-07-18,completed
R0134,C014654,access,2025-08-31,2025-09-27,completed
R0135,C026968,delete,2025-12-07,2026-01-19,pending
R0136,C022559,access,2026-02-06,2026-05-07,completed
R0137,C004663,delete,2026-02-18,2026-03-03,completed
R0138,C020526,correct,2026-01-10,2026-01-29,pending
R0139,C007182,access,2026-03-26,2026-05-05,completed
R0140,C006462,delete,2025-08-24,2025-09-24,completed
R0141,C020668,portability,2025-07-05,2025-07-26,completed
R0142,C030594,access,2025-07-04,2025-07-21,completed
R0143,C002093,correct,2026-01-29,2026-03-09,completed
R0144,C021822,access,2025-08-20,2025-08-23,completed
R0145,C025851,correct,2025-12-25,2026-02-05,completed
R0146,C010157,correct,2026-01-01,2026-01-22,completed
R0147,C018844,delete,2025-10-16,2025-12-04,completed
R0148,C012495,opt-out,2025-04-18,2025-05-28,completed
R0149,C028450,appeal,2025-10-07,2025-11-07,completed
R0150,C009571,access,2026-02-25,2026-03-24,completed
R0151,C008346,opt-out,2025-06-20,2025-07-26,completed
R0152,C013062,access,2026-03-25,2026-05-05,completed
R0153,C021108,portability,2025-08-15,2025-09-26,completed
R0154,C030848,appeal,2025-08-19,2025-08-23,completed
R0155,C020147,appeal,2025-08-27,2025-09-14,pending
R0156,C006141,portability,2026-01-20,2026-05-29,completed
R0157,C032692,opt-out,2026-01-01,2026-01-04,completed
R0158,C020341,delete,2025-12-22,2026-05-06,completed
R0159,C020557,correct,2025-11-08,2025-12-25,completed
R0160,C031748,access,2026-01-29,2026-04-05,completed
R0161,C028253,correct,2025-07-17,2025-08-10,completed
R0162,C025000,access,2026-03-09,2026-03-29,completed
R0163,C008161,opt-out,2026-03-28,2026-05-02,completed
R0164,C004857,portability,2025-08-17,2025-08-24,completed
R0165,C005274,correct,2025-05-01,2025-08-16,completed
R0166,C022143,correct,2026-01-17,2026-02-09,completed
R0167,C019961,correct,2026-01-08,2026-02-08,completed
R0168,C023075,access,2026-02-24,2026-03-27,pending
R0169,C034158,delete,2025-09-02,2025-10-15,completed
R0170,C009342,portability,2026-02-21,2026-02-28,pending
R0171,C034403,portability,2026-02-06,2026-04-08,completed
R0172,C020473,opt-out,2025-07-13,2025-07-15,completed
R0173,C018066,delete,2025-09-29,2025-10-15,completed
R0174,C034334,portability,2025-07-24,2025-08-09,completed
R0175,C034342,delete,2025-09-05,2025-10-05,completed
R0176,C011487,correct,2025-07-08,2025-09-17,completed
R0177,C025193,access,2025-07-03,2025-07-20,completed
R0178,C015490,opt-out,2025-06-20,2025-07-20,completed
R0179,C017361,access,2025-10-05,2025-10-30,completed
R0180,C010183,access,2025-05-23,2025-07-02,completed
R0181,C026445,access,2025-09-28,2025-11-05,completed
R0182,C011566,portability,2025-09-19,2025-09-23,completed
R0183,C009290,access,2026-03-20,2026-04-29,completed
R0184,C024686,delete,2025-09-07,2025-09-29,completed
R0185,C021220,correct,2025-06-03,2025-07-08,completed
R0186,C032936,delete,2026-02-01,2026-02-15,completed
R0187,C009154,appeal,2025-05-01,2025-05-10,completed
R0188,C011765,opt-out,2025-09-05,2025-11-14,completed
R0189,C012020,delete,2025-04-12,2025-05-10,completed
R0190,C012705,opt-out,2025-10-07,2025-10-24,completed
R0191,C010495,correct,2025-10-26,2025-12-03,completed
R0192,C000582,opt-out,2025-07-10,2025-08-11,completed
R0193,C010759,portability,2026-01-20,2026-02-08,completed
R0194,C028237,access,2026-03-15,2026-04-04,completed
R0195,C008122,appeal,2025-12-25,2026-01-21,completed
R0196,C032445,portability,2025-05-09,2025-06-19,completed
